	InChIKey	UniProt	Activity
27	XBROCKGLAZJKJG-ZHACJKMWSA-N	P05177	Active
28	LYKXFKUSOXETGV-UHFFFAOYSA-N	P05177	Active
29	KUWWYTYTAZODEZ-UHFFFAOYSA-N	P05177	Active
30	PLIVQOBEHAUGLU-UHFFFAOYSA-N	P05177	Active
31	XYSYRXOJSOXZPT-UHFFFAOYSA-N	P05177	Active
32	JGXQMNJFMJIQGL-UHFFFAOYSA-N	P05177	Active
33	XQGYZAXDYGLKFO-UHFFFAOYSA-N	P05177	Active
34	HVELMGFBVFHJIR-UHFFFAOYSA-N	P05177	Active
35	COBBHAGEVJOWSY-FMIVXFBMSA-N	P05177	Active
36	NKRKMNRBJRHGIR-QGMBQPNBSA-N	P05177	Active
37	WCCJMTHTCWZRTG-UHFFFAOYSA-N	P05177	Active
38	SCNLBENVNUGTGE-DEDYPNTBSA-N	P05177	Active
39	PMYKNBWAXVYERX-UHFFFAOYSA-N	P05177	Active
40	YGWMEQRRWHWZGS-UHFFFAOYSA-N	P05177	Active
41	RXLKBDRAIQZUET-UHFFFAOYSA-N	P05177	Active
42	QJWHFNQZBOSUCM-UHFFFAOYSA-N	P05177	Active
43	NURXXQAMUCAMMJ-UHFFFAOYSA-N	P05177	Active
44	VXILOMWTKHSQQQ-UHFFFAOYSA-N	P05177	Active
45	IWARXNINJLAYLK-UHFFFAOYSA-N	P05177	Active
46	VZVXFHISDRFKJW-DKABEWEPSA-N	P05177	Active
47	RVMQHAZVEUQQPA-UHFFFAOYSA-N	P05177	Active
48	UYNZVKFEUXVBBP-UHFFFAOYSA-N	P05177	Active
49	KPSNHPWCIBNKPE-UHFFFAOYSA-N	P05177	Active
50	WMPVKBOHGIMWOY-PKNBQFBNSA-N	P05177	Active
51	PQILMIYQAQZTME-HKWRFOASSA-N	P05177	Active
52	WKCJJIMAVFEMID-UHFFFAOYSA-N	P05177	Active
53	LRJDLCKRCUUZDK-UHFFFAOYSA-N	P05177	Active
54	AMNNZFVHKIVUCQ-UHFFFAOYSA-N	P05177	Active
55	KGDBISFHJWFPPG-UHFFFAOYSA-N	P05177	Active
56	CBZFCRQSSDSXHZ-UHFFFAOYSA-N	P05177	Active
57	BQOVVEJDXLCQPF-UHFFFAOYSA-N	P05177	Active
58	QIGRSFJMGCEPRK-UHFFFAOYSA-N	P05177	Active
59	QQBRLUFHGDSFAQ-UITAMQMPSA-N	P05177	Active
60	DWCQXZSEATZNGJ-JXAWBTAJSA-N	P05177	Active
61	NGUWXNDMAICZGH-UHFFFAOYSA-N	P05177	Active
62	PXWNXODGPYQZET-UHFFFAOYSA-N	P05177	Active
63	GBUVRKPQGZADOS-UHFFFAOYSA-N	P05177	Active
64	XAOUZHPXAKVFQM-UHFFFAOYSA-N	P05177	Active
65	MJNGQOQDYCQJQJ-UHFFFAOYSA-N	P05177	Active
66	RSDDSHIFBUMADP-UHFFFAOYSA-N	P05177	Active
67	FPTRIRLZNAUFJZ-UHFFFAOYSA-N	P05177	Active
68	RLTSHGJKSHIZCM-UHFFFAOYSA-N	P05177	Active
69	IPTGRSACOGFTEC-UHFFFAOYSA-N	P05177	Active
70	BFCXRRSXOTYUIA-KGENOOAVSA-N	P05177	Active
71	BVDLZPMYJKYNLU-UHFFFAOYSA-N	P05177	Active
72	BBHGOGWYKOOQFU-UHFFFAOYSA-N	P05177	Active
73	DGWJRFDRDKSZPH-UHFFFAOYSA-N	P05177	Active
74	YWQBWYXHFQVQRQ-UHFFFAOYSA-N	P05177	Active
75	VTOXFJAGHCHRAY-UHFFFAOYSA-N	P05177	Active
76	XITGBOXOLFNAPW-UHFFFAOYSA-N	P05177	Active
77	HOFANOOJUWSYHI-UHFFFAOYSA-N	P05177	Active
78	CKIOPKFICBOUGT-UHFFFAOYSA-N	P05177	Active
79	WARZERDBFRTWKA-CMDGGOBGSA-N	P05177	Active
80	VCELNCUAXSXQGI-LGJNPRDNSA-N	P05177	Active
81	LPGRWVPBASBVQR-UHFFFAOYSA-N	P05177	Active
82	ORMHGBWKGUZWPN-UHFFFAOYSA-N	P05177	Active
83	FSHCOAXPOVADIS-RIYZIHGNSA-N	P05177	Active
84	SSEDGHBVURXDHM-UHFFFAOYSA-N	P05177	Active
85	AFUKHYIYQMQJHN-CCEZHUSRSA-N	P05177	Active
86	HXRWKTPKJKOBAB-UHFFFAOYSA-N	P05177	Active
87	BGQGWDONCSPOBR-UHFFFAOYSA-N	P05177	Active
88	DNHDTNPQCBXEDD-UHFFFAOYSA-N	P05177	Active
89	LOHDSZROVNJVOB-UHFFFAOYSA-N	P05177	Active
90	JRZBHNLJXXSMOD-UHFFFAOYSA-N	P05177	Active
91	ASZXVOGHNNBRPS-AATRIKPKSA-N	P05177	Active
92	WJXCQZORJATLNT-UHFFFAOYSA-N	P05177	Active
93	NKGVPGLJZPNUGY-UHFFFAOYSA-N	P05177	Active
94	OVKDKTRSYHUXNE-UHFFFAOYSA-N	P05177	Active
95	LUGXRZOUOFGUPT-UHFFFAOYSA-N	P05177	Active
96	OAKXTJNUYRDGDH-UHFFFAOYSA-N	P05177	Active
97	TVNBASWNLOIQML-IZZDOVSWSA-N	P05177	Active
98	USWOJBAOURVKJW-UHFFFAOYSA-N	P05177	Active
99	UDDJAFNNXRFENZ-WGOQTCKBSA-N	P05177	Active
100	NPDUQDGSIXFSEF-UHFFFAOYSA-N	P05177	Active
101	NZHMXRNRVISYPP-UHFFFAOYSA-N	P05177	Active
102	WEMXVIQAAMOYIE-UHFFFAOYSA-N	P05177	Active
103	SAEXAGLOSRZIEY-UHFFFAOYSA-N	P05177	Active
104	BHPWNKCHZIKBFQ-UHFFFAOYSA-N	P05177	Active
105	WZMPHVIEYVVAIG-UHFFFAOYSA-N	P05177	Active
106	XWRQUMXHRGTRBL-UHFFFAOYSA-N	P05177	Active
107	NRYSQFHPXLNFCA-UHFFFAOYSA-N	P05177	Active
108	UDJLUJZUDPOEGL-UHFFFAOYSA-N	P05177	Active
109	ZRPDOEPKOIGYTH-UHFFFAOYSA-N	P05177	Active
110	AWDHKTRQPYBPOL-UHFFFAOYSA-N	P05177	Active
111	IAXUCJTWIASDPM-UHFFFAOYSA-N	P05177	Active
112	DPDLOPIWFGQFOR-UHFFFAOYSA-N	P05177	Active
113	FWARKQAKPIPKQZ-UHFFFAOYSA-N	P05177	Active
114	RJJPDKWWEKHSDV-UHFFFAOYSA-N	P05177	Active
115	FFVZZIATZBPJJZ-UHFFFAOYSA-N	P05177	Active
116	QJUXIXUKPFVNKL-UHFFFAOYSA-N	P05177	Active
117	HAKCQNFJULULCS-UHFFFAOYSA-N	P05177	Active
118	XNBORNLHZYBIMI-UHFFFAOYSA-N	P05177	Active
119	IYPPQSUPZUCBSK-UHFFFAOYSA-N	P05177	Active
120	NMHPDXAMPMSCAJ-JMIUGGIZSA-N	P05177	Active
121	KAPCQZPIANYAKK-UHFFFAOYSA-N	P05177	Active
122	UQXURCDEPPHUHS-VCHYOVAHSA-N	P05177	Active
123	VUKXBMBHHHCPNV-YDZHTSKRSA-N	P05177	Active
124	PXGOZNXSLUBEBF-UHFFFAOYSA-N	P05177	Active
125	KTPIJEJNSHMALF-UHFFFAOYSA-N	P05177	Active
126	IEIUYVSVIFBNHQ-CXUHLZMHSA-N	P05177	Active
127	WZBDSVGCZKXTRH-CAOOACKPSA-N	P05177	Active
128	LCDHNNJJZLCNQF-UHFFFAOYSA-N	P05177	Active
129	SIVUXSHMSUSUEV-UHFFFAOYSA-N	P05177	Active
130	QBZZWRQJLDAYOY-UHFFFAOYSA-N	P05177	Active
131	RUHOFSDPDDYBMW-UHFFFAOYSA-N	P05177	Active
132	UVLLVTZTKIDMKA-UHFFFAOYSA-N	P05177	Active
133	AXZJJVZRNPAVBD-FMIVXFBMSA-N	P05177	Active
134	IDSGYWPTICJOGF-UHFFFAOYSA-N	P05177	Active
135	SEZGQWZDAFYNQP-UHFFFAOYSA-N	P05177	Active
136	GDQRTWVTWLDEBP-UHFFFAOYSA-N	P05177	Active
137	BGUYVAAADZNTNR-UHFFFAOYSA-N	P05177	Active
138	PLSIVQUSANQNEQ-UHFFFAOYSA-N	P05177	Active
139	ICPKDCBRJXKWDX-UHFFFAOYSA-N	P05177	Active
140	YQPRQHWSJCZQCF-CAPFRKAQSA-N	P05177	Active
141	RUAWVULWPTYWLK-UHFFFAOYSA-N	P05177	Active
142	HWVYWIZTGYIIHF-UHFFFAOYSA-N	P05177	Active
143	DCNCSOWZKKULQE-UHFFFAOYSA-N	P05177	Active
144	XWWORBHMPHQORH-UHFFFAOYSA-N	P05177	Active
145	GUMUTRKQFWRANF-UHFFFAOYSA-N	P05177	Active
146	DPJBCKVTUQFNDM-UZYVYHOESA-N	P05177	Active
147	YCZRGAOYIJGEPV-UHFFFAOYSA-N	P05177	Active
148	FQXABAQOMCATPV-UHFFFAOYSA-N	P05177	Active
149	LNZFAJIMQDIJAR-UHFFFAOYSA-N	P05177	Active
150	IEKTVSQDBQUXRL-DHDCSXOGSA-N	P05177	Active
151	LDVAQBDXXLZTQM-SAPNQHFASA-N	P05177	Active
152	CDDCAFVGKIIDPG-UHFFFAOYSA-N	P05177	Active
153	VXNFDFZVVVGMQO-UHFFFAOYSA-N	P05177	Active
154	JGZTUYOMPVPVRV-UHFFFAOYSA-N	P05177	Active
155	HDMHDKFBAYGUHV-SOFGYWHQSA-N	P05177	Active
156	GJPJCLVSUVWDFH-RQZCQDPDSA-N	P05177	Active
157	UWEQTFKJRWRUHV-QGMBQPNBSA-N	P05177	Active
158	BWYSPOTUNIDDMX-QGMBQPNBSA-N	P05177	Active
159	ASBJUFFUXNNWAT-UHFFFAOYSA-N	P05177	Active
160	UBFDPSJXRBXJRY-LZYBPNLTSA-N	P05177	Active
161	BOKPCMPHEOIMDY-UHFFFAOYSA-N	P05177	Active
162	KBRZXDDDZQCSCA-UHFFFAOYSA-N	P05177	Active
163	VAGSHINATNLVMH-UHFFFAOYSA-N	P05177	Active
164	NYSYYGNNPNJDSB-UHFFFAOYSA-N	P05177	Active
165	UURMYOCEFKNIOC-UHFFFAOYSA-N	P05177	Active
166	LOJFEEAHRJOSBF-RGVLZGJSSA-N	P05177	Active
167	ALPDIYKVYDGADH-CXUHLZMHSA-N	P05177	Active
168	RSQCCYLFDYRIEJ-UHFFFAOYSA-N	P05177	Active
169	TXBQYUBGQCWFSY-FLIBITNWSA-N	P05177	Active
170	SIOFOPFDSHAMPE-UHFFFAOYSA-N	P05177	Active
171	LCZPELWZGAUFTQ-LZYBPNLTSA-N	P05177	Active
172	QOTGFHAYPXIOHQ-GHXNOFRVSA-N	P05177	Active
173	OZGSOKDOBADRDJ-UHFFFAOYSA-N	P05177	Active
174	OCGPHWYQTWWDDH-UHFFFAOYSA-N	P05177	Active
175	NXEZRQIXMQBWIB-UHFFFAOYSA-N	P05177	Active
176	LVWVNNWHCFOOJW-UHFFFAOYSA-N	P05177	Active
177	DHHVRYYFVNHNCI-UHFFFAOYSA-N	P05177	Active
178	NFMWPJAIRPCVRC-UHFFFAOYSA-N	P05177	Active
179	YMGUVTJMZDLHAP-UHFFFAOYSA-N	P05177	Active
180	CAUYFTWEVAYJMY-CMDGGOBGSA-N	P05177	Active
181	CBVRFKHXYHKVSG-SNAWJCMRSA-N	P05177	Active
182	WOSXBMOLFLCTPL-DHZHZOJOSA-N	P05177	Active
183	WITPFSZCOHWXSQ-UHFFFAOYSA-N	P05177	Active
184	ZUUNJWYRTBKLHE-UHFFFAOYSA-N	P05177	Active
185	SGSBRZJBEYGUSX-UHFFFAOYSA-N	P05177	Active
186	JIOIWTLYQWYRTR-UHFFFAOYSA-N	P05177	Active
187	RIOFJBPYXIUXDQ-UHFFFAOYSA-N	P05177	Active
188	NBQUAKXLTFLOAI-UHFFFAOYSA-N	P05177	Active
189	AWVNSGZSIMHULB-UHFFFAOYSA-N	P05177	Active
190	RLJCULGZUPDOJI-UHFFFAOYSA-N	P05177	Active
191	IRZCIGMOYMHWKF-UHFFFAOYSA-N	P05177	Active
192	YHKJCMKRSHGSHU-UHFFFAOYSA-N	P05177	Active
193	DKISKQNHOKXADD-UHFFFAOYSA-N	P05177	Active
194	HXHRYNDOCAEFMT-HAVVHWLPSA-N	P05177	Active
195	LMWJEBMAMXNYBI-UHFFFAOYSA-N	P05177	Active
196	DZQQVBNOEACABO-UHFFFAOYSA-N	P05177	Active
197	UNRWKBAEJWBSNG-UHFFFAOYSA-N	P05177	Active
198	IPIWDNFQVKTCOF-MINACNRQSA-N	P05177	Active
199	SWDLKHIZOBMHOX-UHFFFAOYSA-N	P05177	Active
200	PUDSSWYITANFLN-DHZHZOJOSA-N	P05177	Active
201	GNZKYWDVQRKXDL-LICLKQGHSA-N	P05177	Active
202	OVPSTOSTDJDZED-UHFFFAOYSA-N	P05177	Active
203	PQDBIJLVENKPBL-UHFFFAOYSA-N	P05177	Active
204	QQHWWDVSRWOHEP-UHFFFAOYSA-N	P05177	Active
205	IBFLIVBYSYFARP-UHFFFAOYSA-N	P05177	Active
206	YQGHYKQSWMLODW-UHFFFAOYSA-N	P05177	Active
207	VUOJXTTUUKKGAR-UHFFFAOYSA-N	P05177	Active
208	LJBZBKNSZJQBBC-UHFFFAOYSA-N	P05177	Active
209	WFKARQGQMJWJHB-UHFFFAOYSA-N	P05177	Active
210	IYPYWVXJTGPEHH-UHFFFAOYSA-N	P05177	Active
211	AHFWKDHXCSQBLE-UHFFFAOYSA-N	P05177	Active
212	ZHXOPHDZULCEBH-UHFFFAOYSA-N	P05177	Active
213	YCRPGBKFKHMDMV-UHFFFAOYSA-N	P05177	Active
214	UKBNDKFDPOVLGR-UHFFFAOYSA-N	P05177	Active
215	KNQOKJGOLHXZND-UHFFFAOYSA-N	P05177	Active
216	KWBVOEMFPYSFBS-UHFFFAOYSA-N	P05177	Active
217	ZWXHZDQAMSQSBG-UHFFFAOYSA-N	P05177	Active
218	KDODKHPWPUVORU-XMHGGMMESA-N	P05177	Active
219	KZYUHNSMYRDTKW-UHFFFAOYSA-N	P05177	Active
220	HEIRQJHDFYXJON-UHFFFAOYSA-N	P05177	Active
221	GRQLVSHGQVCTGY-UHFFFAOYSA-N	P05177	Active
222	PNPRKQFGNGQFGJ-UHFFFAOYSA-N	P05177	Active
223	SUEJHRFXCBQDJZ-UHFFFAOYSA-N	P05177	Active
224	OMPGJOQTZBOCKG-LICLKQGHSA-N	P05177	Active
225	VXGXANYCAKQJKR-QRVIBDJDSA-N	P05177	Active
226	WGVJRSDANQSQQC-YYDJUVGSSA-N	P05177	Active
227	MZDORSSHNSEDHI-ZDLGFXPLSA-N	P05177	Active
228	SGPFOQDTPIYOFM-UHFFFAOYSA-N	P05177	Active
229	OMUXJOYQDRNEOP-VXLYETTFSA-N	P05177	Active
230	JHBPOHXMGXGVKC-UHFFFAOYSA-N	P05177	Active
231	COJBDXOVODWPAE-UHFFFAOYSA-N	P05177	Active
232	CCNUXFSTWRLTEQ-UHFFFAOYSA-N	P05177	Active
233	NFJUZUJPZBSEOT-PEZBUJJGSA-N	P05177	Active
234	OXHKEYROTNDRAM-UHFFFAOYSA-N	P05177	Active
235	CWJBIHJQGQSJGO-UHFFFAOYSA-N	P05177	Active
236	RBHVRUQWYXSOIH-UHFFFAOYSA-N	P05177	Active
237	DMCHARZXDWZKSS-UHFFFAOYSA-N	P05177	Active
238	HHXZJVFGMGHRIH-XYOKQWHBSA-N	P05177	Active
239	PROJETZXIPDIPR-UHFFFAOYSA-N	P05177	Active
240	OVQZQYQEMFSWAC-XYOKQWHBSA-N	P05177	Active
241	ZSLLGQIIRYZCIT-ZROIWOOFSA-N	P05177	Active
242	CCPUKZMNRSCEHN-UHFFFAOYSA-N	P05177	Active
243	HDYNBBDIGZPARS-UHFFFAOYSA-N	P05177	Active
244	UDKLBQULCJTEOC-UHFFFAOYSA-N	P05177	Active
245	RMPJRNWBZOBVOS-UHFFFAOYSA-N	P05177	Active
246	OXWMAPYAXGSTOP-UHFFFAOYSA-N	P05177	Active
247	ZATRWQNCPMMJCE-UHFFFAOYSA-N	P05177	Active
248	UZVKWVQHDLIPHI-UHFFFAOYSA-N	P05177	Active
249	CJXXFYAGYYIVCZ-KXXGJRMMSA-N	P05177	Active
250	OAMUSPXLCOGKBP-UHFFFAOYSA-N	P05177	Active
251	IBHYCAXRPIWWLS-UHFFFAOYSA-N	P05177	Active
252	SKYSQMLWQSQGRR-UHFFFAOYSA-N	P05177	Active
253	BMLRTFXQKZQZPB-UHFFFAOYSA-N	P05177	Active
254	CDHOPEXNCHBTNT-UHFFFAOYSA-N	P05177	Active
255	XRCUVMHEQPENRU-VOTSOKGWSA-N	P05177	Active
256	ATJBOBIRZRRFER-UHFFFAOYSA-N	P05177	Active
257	MMIOHWUCIPXLNA-SDNWHVSQSA-N	P05177	Active
258	XHIUYTWSDNFHHC-UHFFFAOYSA-N	P05177	Active
259	LDUQIFNJWMVMQZ-UHFFFAOYSA-N	P05177	Active
260	ARZJEBXFTPBYCK-UHFFFAOYSA-N	P05177	Active
261	KJMBOVSZBHUXAV-UHFFFAOYSA-N	P05177	Active
262	CNMVCJDNMHGRSE-UHFFFAOYSA-N	P05177	Active
263	SCZAVKYSJQFZQE-UHFFFAOYSA-N	P05177	Active
264	PLDRRKIEDNGMOB-UHFFFAOYSA-N	P05177	Active
265	DKVSLEWCZLPDDW-UHFFFAOYSA-N	P05177	Active
266	HLPHIVACDBFVIE-UHFFFAOYSA-N	P05177	Active
267	NWPOPFMCLDSXNA-UHFFFAOYSA-N	P05177	Active
268	YMQXNHJLQVJJDY-UHFFFAOYSA-N	P05177	Active
269	OUFKUJJPYFOWMZ-UHFFFAOYSA-N	P05177	Active
270	GFINWUIVKGIGFX-UHFFFAOYSA-N	P05177	Active
271	OUYRCPLUZMRCCN-UHFFFAOYSA-N	P05177	Active
272	MCMXDPBCCHGEDA-UHFFFAOYSA-N	P05177	Active
273	ZIAHEDPZUGMZMM-UHFFFAOYSA-N	P05177	Active
274	PXCQCBOGRVCHKF-NLRVBDNBSA-N	P05177	Active
275	MDTVBIKZWJRUCB-UHFFFAOYSA-N	P05177	Active
276	SSOWBVFTNIJHQK-UHFFFAOYSA-N	P05177	Active
277	NGEVBVBZRCYKHK-UHFFFAOYSA-N	P05177	Active
278	DNYLFYAAYWLEFD-HYARGMPZSA-N	P05177	Active
279	UOHWUQBNVLHKLT-UHFFFAOYSA-N	P05177	Active
280	BVSXCOIWZOLMEW-MHWRWJLKSA-N	P05177	Active
281	LHKZIUFTPWMHKX-UHFFFAOYSA-N	P05177	Active
282	BHGFKQBXKQVOKX-YVLHZVERSA-N	P05177	Active
283	MNHCUGUXCNTEHJ-VMPITWQZSA-N	P05177	Active
284	IRZLKGUEQKQZAJ-UHFFFAOYSA-N	P05177	Active
285	PCCFCGUEHHGMPA-UHFFFAOYSA-N	P05177	Active
286	XEQQXDGJVCIHHN-UHFFFAOYSA-N	P05177	Active
287	GNTCSCFWZJOXGI-LDADJPATSA-N	P05177	Active
288	JMBYFKBGOMJGFM-ZHACJKMWSA-N	P05177	Active
289	WJCSSTWNVXULIP-UHFFFAOYSA-N	P05177	Active
290	PPJKVBQGIMJYBO-UHFFFAOYSA-N	P05177	Active
291	OTGWKWLVMHNKNV-XMHGGMMESA-N	P05177	Active
292	CWBLTXRMPSNFEO-UHFFFAOYSA-N	P05177	Active
293	MGKIYAJHDODEFI-UHFFFAOYSA-N	P05177	Active
294	QKCFJGVKGWATGR-UHFFFAOYSA-N	P05177	Active
295	KQMWGMYCERRTFP-FMIVXFBMSA-N	P05177	Active
296	VVPPEWSHABGJGH-UHFFFAOYSA-N	P05177	Active
297	KGEAJPRQZWFCDT-UHFFFAOYSA-N	P05177	Active
298	ZEUBZCDNTJHGFZ-UHFFFAOYSA-N	P05177	Active
299	DQFMJNQKUOADQD-UHFFFAOYSA-N	P05177	Active
300	OABSOCGJVXDRKG-UHFFFAOYSA-N	P05177	Active
301	HIBZGDJLNANDFP-UHFFFAOYSA-N	P05177	Active
302	LOFHAVLBSWQMMO-UHFFFAOYSA-N	P05177	Active
303	MTISMAGUQKTMPF-UHFFFAOYSA-N	P05177	Active
304	DBGCMUXYOXRIHR-UHFFFAOYSA-N	P05177	Active
305	WNIGTOIARPHNCO-UHFFFAOYSA-N	P05177	Active
306	TUWARWGEOHQXCO-UHFFFAOYSA-N	P05177	Active
307	GBUMCARXCBFGJJ-VGOFMYFVSA-N	P05177	Active
308	SIIYIFFQXBUHDX-MHWRWJLKSA-N	P05177	Active
309	DXFQOZHIWCKOFB-UHFFFAOYSA-N	P05177	Active
310	HZNSLMYSUFUODF-CXUHLZMHSA-N	P05177	Active
311	LYRHBDYLHIRALJ-NLRVBDNBSA-N	P05177	Active
312	GUFALNAJWRRFDJ-UHFFFAOYSA-N	P05177	Active
313	DPSWUEOTBNLHEG-OIJFLVMVSA-N	P05177	Active
314	KQINOEXPQWEJAM-UHFFFAOYSA-N	P05177	Active
315	SRRXZDLALXNSBQ-UHFFFAOYSA-N	P05177	Active
316	BDTSZOWJPJQJCC-UHFFFAOYSA-N	P05177	Active
317	COAZFKKBVSGNML-UHFFFAOYSA-N	P05177	Active
318	BWJATXWCHCKBCQ-KOEQRZSOSA-N	P05177	Active
319	DYYJAZKIGMWODY-UHFFFAOYSA-N	P05177	Active
320	QKIAVVUKQAHMSU-UHFFFAOYSA-N	P05177	Active
321	OOGGYCGJQCQIRD-CMDGGOBGSA-N	P05177	Active
322	SFOROUDOGODPBP-UHFFFAOYSA-N	P05177	Active
323	UNJBBMWTNOXYOY-REZTVBANSA-N	P05177	Active
324	ISXZCSNFKOBHHY-UFWORHAWSA-N	P05177	Active
325	GCIARAFQKCKUDT-GIJQJNRQSA-N	P05177	Active
326	PDOHBTKCAMJWCD-UHFFFAOYSA-N	P05177	Active
327	RHMNSLSTMMBZSZ-UHFFFAOYSA-N	P05177	Active
328	VLKGZJJKNXFENI-UHFFFAOYSA-N	P05177	Active
329	QZYRZWIGCKUOJH-UHFFFAOYSA-N	P05177	Active
330	ABYDHFCNXZFOEE-MHWRWJLKSA-N	P05177	Active
331	IMFPSCTVAWAXGG-UHFFFAOYSA-N	P05177	Active
332	NLTINAPNEBXCHE-UHFFFAOYSA-N	P05177	Active
333	XSSYNNQDIHERNJ-UHFFFAOYSA-N	P05177	Active
334	HRYDWTDZCFVFRH-BQYQJAHWSA-N	P05177	Active
335	JGQGXGLMAKDLBO-UHFFFAOYSA-N	P05177	Active
336	KYWXRBWROIWDIS-UHFFFAOYSA-N	P05177	Active
337	APOQTMBYXYXQGI-UHFFFAOYSA-N	P05177	Active
338	NNANDQTUQDGXHX-UHFFFAOYSA-N	P05177	Active
339	YXZKKQAZJWYKNB-ZHACJKMWSA-N	P05177	Active
340	PXIUEQMHXTWAKT-UHFFFAOYSA-N	P05177	Active
341	MLMSWRFVLJZNRV-UHFFFAOYSA-N	P05177	Active
342	YBCHTZBYMMNFKD-UHFFFAOYSA-N	P05177	Active
343	IDYBXHBQWNTAJA-UHFFFAOYSA-N	P05177	Active
344	BGZZNKOWUSOPRR-UHFFFAOYSA-N	P05177	Active
345	UNSTZRRKYYTHBG-UHFFFAOYSA-N	P05177	Active
346	TXUHRMCLKOJDLK-JLHYYAGUSA-N	P05177	Active
347	AMYCHEYIZMNTCL-UHFFFAOYSA-N	P05177	Active
348	LGBXPIJELSNQSB-UHFFFAOYSA-N	P05177	Active
349	LUZPCLURXBMOQH-UHFFFAOYSA-N	P05177	Active
350	HIZVFUNZHBQMHD-UHFFFAOYSA-N	P05177	Active
351	YBIPLQNGDAQRAJ-UHFFFAOYSA-N	P05177	Active
352	XINGSAULAAIMJY-UHFFFAOYSA-N	P05177	Active
353	YTPADZXRLWOWSB-UHFFFAOYSA-N	P05177	Active
354	DTSDGDODMBNKDW-UHFFFAOYSA-N	P05177	Active
355	SKISRTSGTWSZJC-UHFFFAOYSA-N	P05177	Active
356	ILOVXTYBYWSMBS-UHFFFAOYSA-N	P05177	Active
357	NQKCOGMVCMTTLW-UHFFFAOYSA-N	P05177	Active
358	BTAJOKGKDKNSRN-UHFFFAOYSA-N	P05177	Active
359	HFTVWNOYWXDWPI-UHFFFAOYSA-N	P05177	Active
360	LSMIXSYAXJNILX-DJKKODMXSA-N	P05177	Active
361	BIJGVWVFZFFYII-UHFFFAOYSA-N	P05177	Active
362	QGYZAWCNJCDUSE-UHFFFAOYSA-N	P05177	Active
363	QRJSGOWRBQNHBU-UHFFFAOYSA-N	P05177	Active
364	JUJURNIXPKGFSS-HYARGMPZSA-N	P05177	Active
365	PDZCSOXDSLIPTM-BUHFOSPRSA-N	P05177	Active
366	ZCOCFRDIOWPFCZ-ZVHZXABRSA-N	P05177	Active
367	JAHPIBOZBLLANL-UHFFFAOYSA-N	P05177	Active
368	MFSLIBUEKHTVDK-UHFFFAOYSA-N	P05177	Active
369	FFYCJYXISQRSOH-FOWTUZBSSA-N	P05177	Active
370	BBXINHGZPHIQQU-UHFFFAOYSA-N	P05177	Active
371	XLLDXYINDPHTJG-CMDGGOBGSA-N	P05177	Active
372	YCWXFIGAZNVYKK-UHFFFAOYSA-N	P05177	Active
373	IUYGKYJUKMVJCK-UHFFFAOYSA-N	P05177	Active
374	MCJIXNUKGJCWRD-QGOAFFKASA-N	P05177	Active
375	GSLAHJGYYGNFGB-UHFFFAOYSA-N	P05177	Active
376	JXDGJLUHHLTWRY-UHFFFAOYSA-N	P05177	Active
377	IQMXXHNWOFKQHM-UHFFFAOYSA-N	P05177	Active
378	UMCPWWLZODVFJA-UHFFFAOYSA-N	P05177	Active
379	LYKLHMXUKPRJOA-UHFFFAOYSA-N	P05177	Active
380	IFXKRMGARRVMNT-UHFFFAOYSA-N	P05177	Active
